ID_Serie;mae_0ive;mae_S0ive;mae_mae;mae_ETS;mae_NNetar
2929;494.8411111;947.1158333;345.1806077;398.0658372;196.2744996
2930;561.4655556;618.9563889;561.4655556;561.4526818;277.4433631
2931;557.5772222;614.9777778;557.5772222;557.5643897;266.1646369
2932;293.0555556;299.4444444;135.3243539;152.3820389;285.8972615
2933;213.2385556;328.9338889;139.1363252;155.6927102;210.1960474
2934;491.3316667;943.1705556;394.2206675;394.8796756;235.8266512
2935;183.1390556;297.1389167;114.3170977;128.1960725;174.5205384
2936;293.0555556;299.4444444;134.9598932;142.6906844;281.1107745
2937;293.0555556;299.4444444;134.6618676;153.3850596;258.4269213
2938;397.5555556;935.75;298.2567991;397.5367686;271.4491533
2939;397.7222222;936.7777778;397.7222222;397.6990562;318.6628034
2940;397.3888889;934.7222222;297.666255;397.3671623;286.114742
2941;497;768.6111111;279.9325397;292.6533604;569.8609082
2942;497;768.6111111;278.9272487;269.8063144;546.3818117
2943;564.3055556;776.9444444;564.3055556;563.595364;554.3747168
2944;564.8333333;779.8333333;564.8333333;564.050566;394.845465
2945;563.7777778;774.0555556;563.7777778;563.1186819;448.5577284
2946;537.4207778;636.7042222;498.7019463;537.0963969;587.7420676
2947;473.0833333;711.1222222;457.1523752;458.9013407;476.1607632
2948;473.0833333;711.1222222;457.1399255;458.5176653;478.4686363
2949;473.0833333;711.1222222;457.1648206;457.6320605;470.5793462
2950;537.3685833;637.1528056;498.7673726;487.6021204;590.1781049
2951;537.3163889;637.6013889;498.832718;487.4067946;585.5758914
2952;2148.861111;2547.083333;2148.861111;2145.370179;2288.5429
2953;1844.342111;2177.5255;1788.247947;1555.291934;2061.981983
2954;600;911.1111111;315.3478806;315.8127961;810.6294979
2955;723.8072222;740.1972222;723.8072222;727.9023358;759.3937512
2956;723.0261111;738.3105556;723.0261111;727.8599293;734.0121224
2957;1148.416667;1283.472222;857.7973856;887.0288529;1172.805264
2958;1109.555556;1233.111111;823.8337418;875.6705465;1154.255798
2959;1525.827778;1395.344444;1498.775329;1525.826611;1566.670031
2960;281.5;826.1111111;281.5;557.7582847;1040.591929
2961;284.3333333;834;284.3333333;568.7412213;1211.730172
2962;287.1666667;841.8888889;287.1666667;624.569049;1167.498165
2963;31.96666667;76.94055556;44.59691691;31.88752177;76.68226151
2964;11.65;45.56111111;11.65;11.65;11.06151108
2965;31.64888889;76.17333333;44.21361011;31.57293357;122.7551708
2966;11.69166667;45.73333333;11.69166667;11.69166667;25.64316166
2967;13.23333333;61.71666667;13.23333333;13.2504764;17.07914209
2968;11.73333333;45.90555556;11.73333333;11.73333333;10.93873937
2969;13.28611111;61.95555556;13.28611111;13.29446497;16.97517129
2970;101.2222222;449.3333333;101.2222222;101.2222222;301.4631772
2971;1011.416667;769.2322222;995.8397947;990.2426182;1114.828571
2972;105.3611111;83.52222222;103.5690632;120.3315011;92.65396502
2973;200.1205556;447.4858333;200.1205556;200.1205556;232.3881482
2974;111.2111111;82.66666667;117.6917721;111.2095073;62.01573089
2975;116.2666667;140.0611111;116.2666667;116.2680052;119.7215107
2976;199.9572222;446.5155556;220.6310979;199.9572222;297.8833166
2977;111.2111111;82.66666667;117.6917722;111.2095191;48.54613337
2978;105.3666667;83.52777778;103.5746191;120.3033453;98.40422398
2979;105.3666667;83.52777778;103.5746184;120.3121878;101.9173671
2980;111.2111111;82.66666667;117.6917721;111.209508;47.1104559
2981;775.9113333;819.3622778;289.4207981;413.261763;1176.84905
2982;116.2666667;140.0611111;116.2666667;116.2679904;117.5991373
2983;678.5509444;830.4148333;332.9619457;399.835571;1161.969213
2984;873.2717222;825.6163889;287.0658628;473.005661;1344.504924
2985;1186.777778;878.8888889;1237.137611;1325.305995;456.8338566
2986;23.59716667;149.5448333;23.59716667;23.59747754;46.80268057
2987;1181.222222;874.5555556;1231.269614;1318.941854;467.0618319
2988;126.1722222;163.8166667;126.8357553;80.58323331;295.4858431
2989;126.8722222;164.7722222;127.5348768;80.99819144;297.0856126
2990;126.5222222;164.2944444;127.1853172;80.78902798;284.5666538
2991;148.0555556;155.4388889;148.0555556;148.0526089;122.6984586
2992;11.55555556;11.55555556;11.55555556;11.55556649;8.549555264
2993;102.8405556;613.9311111;132.7892808;205.9781996;2215.781713
2994;99.13388889;405.985;142.0077144;99.13726914;252.778327
2995;99.20944444;405.0077778;142.567438;99.21280622;261.4218965
2996;102.8405556;613.9355556;131.8721765;131.0424889;2071.186903
2997;3383.898278;7865.996556;2320.494231;1472.773669;3627.162875
2998;104.2792528;273.0268861;70.50866747;69.51446175;195.0802389
2999;371.3500111;735.2167222;107.9724271;141.929587;355.6674575
3000;104.9079444;274.4695111;70.98863403;68.837011;194.2706018
3001;80.11111111;143.2777778;68.93390398;65.64369414;68.25600936
3002;80.11111111;143.2777778;68.96310811;65.66098813;65.95579193
3003;127.2222222;264.3333333;127.2222222;127.2909764;167.7305406
3004;127.2222222;264.3333333;127.2222222;127.2216096;190.5696262
3005;62.04055556;261.465;62.31409555;72.11915303;59.43494039
3006;4255.555556;4255.555556;4253.701904;4255.555556;4151.187413
3007;6779;7024.911111;6779;6778.897969;6819.59137
3008;63.89833333;265.665;62.82401133;70.9202732;48.38629081
3009;77.35888889;212.5986111;71.17121738;78.03264764;130.5707683
3010;62.91388889;263.5094444;62.56207735;71.44688508;45.84643443
3011;1659.711111;2217.538889;889.6809917;869.7163364;1074.252486
3012;120.4388889;331.0222222;26.67237319;53.16779326;536.6151782
3013;23.59133333;149.5074722;23.59133333;23.59201968;27.05667326
3014;23.5855;149.4701111;23.5855;23.58581376;106.2929729
3015;313.3333333;1043.888889;448.3470793;1413.88989;1345.531048
